cluster_id,household_id,child_age_months,child_sex,mother_education,urban_rural,district,wealth_index,disability,province
2.0,19.0,9.0,1,3.0,1,1.0,2.0,0.0,0
2.0,19.0,8.0,0,3.0,1,1.0,2.0,0.0,0
2.0,19.0,5.0,0,3.0,1,1.0,2.0,0.0,0
2.0,19.0,3.0,1,3.0,1,1.0,2.0,0.0,0
2.0,19.0,35.0,0,0.0,1,1.0,2.0,2.0,0
2.0,19.0,34.0,1,0.0,1,1.0,2.0,2.0,0
2.0,19.0,9.0,1,0.0,1,1.0,2.0,0.0,0
2.0,19.0,8.0,1,0.0,1,1.0,2.0,0.0,0
2.0,19.0,6.0,0,0.0,1,1.0,2.0,0.0,0
2.0,19.0,4.0,1,0.0,1,1.0,2.0,0.0,0
2.0,19.0,0.0,1,0.0,1,1.0,2.0,0.0,0
2.0,20.0,20.0,1,0.0,1,1.0,2.0,2.0,0
2.0,20.0,5.0,1,0.0,1,1.0,2.0,0.0,0
2.0,20.0,4.0,0,0.0,1,1.0,2.0,0.0,0
2.0,20.0,2.0,1,0.0,1,1.0,2.0,0.0,0
2.0,20.0,69.0,0,0.0,1,1.0,2.0,1.0,0
2.0,20.0,67.0,1,0.0,1,1.0,2.0,2.0,0
3.0,1.0,25.0,1,0.0,1,1.0,1.0,2.0,0
3.0,1.0,34.0,0,0.0,1,1.0,1.0,2.0,0
3.0,1.0,11.0,0,0.0,1,1.0,1.0,0.0,0
3.0,1.0,10.0,1,0.0,1,1.0,1.0,0.0,0
3.0,1.0,8.0,1,0.0,1,1.0,1.0,0.0,0
3.0,1.0,4.0,1,0.0,1,1.0,1.0,0.0,0
3.0,2.0,52.0,1,0.0,1,1.0,1.0,2.0,0
3.0,2.0,53.0,0,0.0,1,1.0,1.0,2.0,0
3.0,2.0,21.0,0,0.0,1,1.0,1.0,2.0,0
3.0,2.0,11.0,1,0.0,1,1.0,1.0,0.0,0
3.0,2.0,11.0,0,0.0,1,1.0,1.0,0.0,0
3.0,2.0,9.0,1,0.0,1,1.0,1.0,0.0,0
3.0,2.0,7.0,1,0.0,1,1.0,1.0,0.0,0
3.0,3.0,39.0,1,0.0,1,1.0,1.0,2.0,0
3.0,3.0,17.0,0,0.0,1,1.0,1.0,0.0,0
3.0,3.0,11.0,1,0.0,1,1.0,1.0,0.0,0
3.0,3.0,9.0,0,0.0,1,1.0,1.0,0.0,0
3.0,3.0,5.0,0,0.0,1,1.0,1.0,0.0,0
3.0,3.0,4.0,0,0.0,1,1.0,1.0,0.0,0
3.0,4.0,30.0,0,0.0,1,1.0,2.0,2.0,0
3.0,4.0,24.0,1,0.0,1,1.0,2.0,2.0,0
3.0,4.0,10.0,1,0.0,1,1.0,2.0,0.0,0
3.0,4.0,6.0,0,0.0,1,1.0,2.0,0.0,0
3.0,4.0,5.0,0,0.0,1,1.0,2.0,0.0,0
3.0,5.0,46.0,1,0.0,1,1.0,2.0,2.0,0
3.0,5.0,56.0,0,0.0,1,1.0,2.0,2.0,0
3.0,5.0,37.0,0,0.0,1,1.0,2.0,2.0,0
3.0,5.0,32.0,1,0.0,1,1.0,2.0,2.0,0
3.0,5.0,15.0,0,0.0,1,1.0,2.0,0.0,0
3.0,5.0,8.0,1,0.0,1,1.0,2.0,0.0,0
3.0,5.0,7.0,0,0.0,1,1.0,2.0,0.0,0
3.0,5.0,4.0,0,0.0,1,1.0,2.0,0.0,0
3.0,6.0,80.0,1,0.0,1,1.0,1.0,1.0,0
3.0,6.0,39.0,0,0.0,1,1.0,1.0,2.0,0
3.0,6.0,37.0,1,0.0,1,1.0,1.0,2.0,0
3.0,6.0,19.0,0,0.0,1,1.0,1.0,2.0,0
3.0,6.0,18.0,0,0.0,1,1.0,1.0,2.0,0
3.0,6.0,15.0,1,0.0,1,1.0,1.0,0.0,0
3.0,7.0,34.0,1,0.0,1,1.0,1.0,2.0,0
3.0,7.0,47.0,0,0.0,1,1.0,1.0,2.0,0
3.0,7.0,16.0,0,0.0,1,1.0,1.0,0.0,0
3.0,7.0,15.0,0,0.0,1,1.0,1.0,0.0,0
3.0,7.0,14.0,0,0.0,1,1.0,1.0,0.0,0
3.0,7.0,13.0,1,0.0,1,1.0,1.0,0.0,0
3.0,8.0,32.0,1,0.0,1,1.0,1.0,2.0,0
3.0,8.0,32.0,0,0.0,1,1.0,1.0,2.0,0
3.0,8.0,14.0,0,0.0,1,1.0,1.0,0.0,0
3.0,8.0,10.0,0,0.0,1,1.0,1.0,0.0,0
3.0,8.0,9.0,0,0.0,1,1.0,1.0,0.0,0
3.0,8.0,7.0,0,0.0,1,1.0,1.0,0.0,0
3.0,8.0,1.0,1,0.0,1,1.0,1.0,0.0,0
3.0,9.0,44.0,1,0.0,1,1.0,1.0,1.0,0
3.0,9.0,61.0,0,0.0,1,1.0,1.0,2.0,0
3.0,9.0,29.0,0,0.0,1,1.0,1.0,2.0,0
3.0,9.0,24.0,1,0.0,1,1.0,1.0,2.0,0
3.0,9.0,4.0,1,0.0,1,1.0,1.0,0.0,0
3.0,9.0,2.0,0,0.0,1,1.0,1.0,0.0,0
3.0,9.0,21.0,0,0.0,1,1.0,1.0,2.0,0
3.0,10.0,66.0,1,0.0,1,1.0,1.0,1.0,0
3.0,10.0,64.0,0,0.0,1,1.0,1.0,1.0,0
3.0,10.0,39.0,0,0.0,1,1.0,1.0,1.0,0
3.0,10.0,39.0,1,0.0,1,1.0,1.0,2.0,0
3.0,10.0,12.0,1,0.0,1,1.0,1.0,0.0,0
3.0,10.0,9.0,0,0.0,1,1.0,1.0,0.0,0
3.0,10.0,35.0,0,0.0,1,1.0,1.0,2.0,0
3.0,10.0,37.0,1,0.0,1,1.0,1.0,2.0,0
3.0,10.0,11.0,0,0.0,1,1.0,1.0,0.0,0
3.0,10.0,9.0,0,0.0,1,1.0,1.0,0.0,0
3.0,10.0,32.0,0,0.0,1,1.0,1.0,2.0,0
3.0,10.0,28.0,1,0.0,1,1.0,1.0,2.0,0
3.0,10.0,8.0,0,0.0,1,1.0,1.0,0.0,0
3.0,10.0,4.0,0,0.0,1,1.0,1.0,0.0,0
3.0,10.0,1.0,1,0.0,1,1.0,1.0,0.0,0
3.0,11.0,47.0,1,0.0,1,1.0,1.0,2.0,0
3.0,11.0,32.0,0,0.0,1,1.0,1.0,2.0,0
3.0,11.0,17.0,0,0.0,1,1.0,1.0,0.0,0
3.0,11.0,16.0,1,0.0,1,1.0,1.0,0.0,0
3.0,11.0,5.0,1,0.0,1,1.0,1.0,0.0,0
3.0,11.0,1.0,0,0.0,1,1.0,1.0,0.0,0
3.0,12.0,20.0,0,0.0,1,1.0,1.0,2.0,0
3.0,12.0,21.0,1,0.0,1,1.0,1.0,2.0,0
3.0,12.0,2.0,0,0.0,1,1.0,1.0,0.0,0
3.0,12.0,1.0,0,0.0,1,1.0,1.0,0.0,0
3.0,13.0,50.0,1,0.0,1,1.0,1.0,1.0,0
3.0,13.0,38.0,0,0.0,1,1.0,1.0,2.0,0
3.0,13.0,27.0,1,0.0,1,1.0,1.0,2.0,0
3.0,13.0,7.0,0,0.0,1,1.0,1.0,0.0,0
3.0,13.0,3.0,1,0.0,1,1.0,1.0,0.0,0
3.0,13.0,32.0,0,0.0,1,1.0,1.0,2.0,0
3.0,13.0,22.0,1,0.0,1,1.0,1.0,2.0,0
3.0,13.0,1.0,1,0.0,1,1.0,1.0,0.0,0
3.0,13.0,23.0,0,0.0,1,1.0,1.0,2.0,0
3.0,14.0,66.0,1,0.0,1,1.0,1.0,1.0,0
3.0,14.0,71.0,0,0.0,1,1.0,1.0,1.0,0
3.0,14.0,38.0,0,0.0,1,1.0,1.0,2.0,0
3.0,14.0,36.0,1,0.0,1,1.0,1.0,2.0,0
3.0,14.0,16.0,0,0.0,1,1.0,1.0,0.0,0
3.0,14.0,15.0,0,0.0,1,1.0,1.0,0.0,0
3.0,14.0,13.0,0,0.0,1,1.0,1.0,0.0,0
3.0,14.0,10.0,0,0.0,1,1.0,1.0,0.0,0
3.0,15.0,37.0,1,0.0,1,1.0,1.0,2.0,0
3.0,15.0,36.0,0,0.0,1,1.0,1.0,2.0,0
3.0,15.0,11.0,0,0.0,1,1.0,1.0,0.0,0
3.0,15.0,7.0,1,0.0,1,1.0,1.0,0.0,0
3.0,15.0,5.0,0,0.0,1,1.0,1.0,0.0,0
3.0,15.0,2.0,0,0.0,1,1.0,1.0,0.0,0
3.0,16.0,79.0,0,0.0,1,1.0,1.0,1.0,0
3.0,16.0,72.0,1,0.0,1,1.0,1.0,1.0,0
3.0,16.0,39.0,0,0.0,1,1.0,1.0,2.0,0
3.0,16.0,35.0,1,0.0,1,1.0,1.0,2.0,0
3.0,16.0,8.0,1,0.0,1,1.0,1.0,0.0,0
3.0,16.0,6.0,0,0.0,1,1.0,1.0,0.0,0
3.0,16.0,4.0,1,0.0,1,1.0,1.0,0.0,0
